@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
78,110,0,1512,78,0.950943,1,0.067818,1,0.932182,0.127021,0.954118,1.048089,0.004518
79,110,0,1511,79,0.950314,1,0.067859,1,0.932141,0.127094,0.953529,1.048735,0.00453
80,110,0,1510,80,0.949686,1,0.067901,1,0.932099,0.127168,0.952941,1.049383,0.004583
81,110,0,1509,81,0.949057,1,0.067943,1,0.932057,0.127241,0.952353,1.050031,0.004676
82,110,0,1508,82,0.948428,1,0.067985,1,0.932015,0.127315,0.951765,1.05068,0.004703
83,110,0,1507,83,0.947799,1,0.068027,1,0.931973,0.127389,0.951176,1.05133,0.004771
84,110,0,1506,84,0.94717,1,0.068069,1,0.931931,0.127462,0.950588,1.05198,0.004841
85,110,0,1505,85,0.946541,1,0.068111,1,0.931889,0.127536,0.95,1.052632,0.004871
86,110,0,1504,86,0.945912,1,0.068154,1,0.931846,0.12761,0.949412,1.053284,0.004909
87,110,0,1503,87,0.945283,1,0.068196,1,0.931804,0.127684,0.948824,1.053937,0.004994
88,110,0,1502,88,0.944654,1,0.068238,1,0.931762,0.127758,0.948235,1.054591,0.005007
89,110,0,1501,89,0.944025,1,0.068281,1,0.931719,0.127833,0.947647,1.055245,0.005064
90,110,0,1500,90,0.943396,1,0.068323,1,0.931677,0.127907,0.947059,1.055901,0.005073
91,110,0,1499,91,0.942767,1,0.068365,1,0.931635,0.127981,0.946471,1.056557,0.005102
92,110,0,1498,92,0.942138,1,0.068408,1,0.931592,0.128056,0.945882,1.057214,0.005136
93,110,0,1497,93,0.941509,1,0.068451,1,0.931549,0.12813,0.945294,1.057872,0.005237
94,110,0,1496,94,0.940881,1,0.068493,1,0.931507,0.128205,0.944706,1.058531,0.005397
95,110,0,1495,95,0.940252,1,0.068536,1,0.931464,0.12828,0.944118,1.05919,0.005403
96,110,0,1494,96,0.939623,1,0.068579,1,0.931421,0.128355,0.943529,1.05985,0.005455
97,110,0,1493,97,0.938994,1,0.068621,1,0.931379,0.12843,0.942941,1.060512,0.005475
98,110,0,1492,98,0.938365,1,0.068664,1,0.931336,0.128505,0.942353,1.061174,0.00552
99,110,0,1491,99,0.937736,1,0.068707,1,0.931293,0.12858,0.941765,1.061836,0.005534
100,110,0,1490,100,0.937107,1,0.06875,1,0.93125,0.128655,0.941176,1.0625,0.005536
